mode,left_pwm,right_pwm,left_speed,right_speed,left_direction,right_direction
left_turn,0.1,0.1,-4.24,-0.44,backward,forward
left_turn,0.15,0.15,-4.0,-0.68,backward,forward
left_turn,0.2,0.2,-3.74,-0.92,backward,forward
left_turn,0.25,0.25,-3.51,-1.18,backward,forward
left_turn,0.3,0.3,416.84,-1.41,backward,forward
left_turn,0.35,0.35,-3.01,-1.63,backward,forward
left_turn,0.4,0.4,-2.75,-1.88,backward,forward
left_turn,0.45,0.45,-2.47,-2.14,backward,forward
left_turn,0.5,0.5,-2.26,-2.33,backward,forward
left_turn,0.55,0.55,-2.0,-2.6,backward,forward
left_turn,0.6,0.6,-1.81,-2.91,backward,forward
left_turn,0.65,0.65,-1.53,-3.06,backward,forward
left_turn,0.7,0.7,-1.24,-3.26,backward,forward
left_turn,0.75,0.75,419.05,-3.53,backward,forward
left_turn,0.8,0.8,-0.76,-3.79,backward,forward
left_turn,0.85,0.85,-0.54,-4.0,backward,forward
right_turn,0.1,0.1,0.0,3.76,forward,backward
right_turn,0.15,0.15,0.0,3.26,forward,backward
right_turn,0.2,0.2,0.0,2.76,forward,backward
right_turn,0.25,0.25,0.0,2.35,forward,backward
right_turn,0.3,0.3,0.0,2.04,forward,backward
right_turn,0.35,0.35,0.37,1.87,forward,backward
right_turn,0.4,0.4,0.9,1.69,forward,backward
right_turn,0.45,0.45,1.36,1.5,forward,backward
right_turn,0.5,0.5,1.69,1.22,forward,backward
right_turn,0.55,0.55,2.01,0.86,forward,backward
right_turn,0.6,0.6,2.04,0.41,forward,backward
right_turn,0.65,0.65,2.14,0.0,forward,backward
right_turn,0.7,0.7,2.25,0.0,forward,backward
right_turn,0.75,0.75,2.51,0.0,forward,backward
right_turn,0.8,0.8,2.86,0.0,forward,backward
right_turn,0.85,0.85,3.33,0.0,forward,backward
